"COMID","totco2g_day","pred_total","totco2g_day_fill","pred_logw_m","stream_length_m","pred_stream_area_m2_fill"
"23751984",47801.6016657534,39034.515625,47801.6016657534,0.162400920847299,2492,3620.89812706195
"23751986",NA,2112669.5,2112669.5,1.38271278765971,441,10645.1563560006
"23751988",NA,3775446,3775446,1.38018623726989,2680,64316.4786509304
"23751990",NA,3978495.5,3978495.5,1.37794461909197,1350,32231.3258433981
"23751992",NA,3267243.25,3267243.25,1.37275179175138,698,16466.6630115375
"23751994",NA,2999411.25,2999411.25,1.36388095809711,764,17659.2896214333
"23751996",NA,4841624.5,4841624.5,1.36288364995515,1235,28480.6163081936
"23751998",NA,2425856.25,2425856.25,1.3612428537845,406,9335.96242369324
"23752000",1175151.95303836,1175666.25,1175151.95303836,1.36118951319573,131,3009.26043555837
"23752002",NA,1979385.875,1979385.875,1.35974794783725,607,13897.5222196427
"23752004",412320.076597808,612522.6875,412320.076597808,1.35968418887411,48,1098.81680303322
"23752006",2012909.01934521,2060436.625,2012909.01934521,1.35519682147218,507,11486.9486096485
"23752008",2991250.27249315,2976237,2991250.27249315,1.34440040744523,453,10011.4502771784
"23752010",131101.593041096,155652.859375,131101.593041096,0.478047361238964,8187,24610.1015061789
"23752012",NA,4782935,4782935,1.33910793831934,713,15566.7919351552
"23752014",4081271.50446575,3903236.5,4081271.50446575,1.33791869886686,1265,27542.8486243733
"23752016",5098084.6830411,4787048,5098084.6830411,1.33734210626418,1749,38030.4960148437
"23752018",2668399.5184274,2738708.75,2668399.5184274,1.33059698401385,663,14194.2178142404
"23752020",1101643.92340274,1142508.625,1101643.92340274,1.32614388272311,257,5445.96723206325
"23752022",762984.116728767,979220,762984.116728767,1.32477561184183,209,4414.91520923423
"23752024",4900754.52789041,4486182.5,4900754.52789041,1.32476388185054,1448,30586.5551564287
"23752026",2879782.6599863,3080090.25,2879782.6599863,1.32414525017956,645,13605.2588051548
"23752028",NA,1691025.75,1691025.75,1.31981126780419,91,1900.43324970917
"23752030",NA,3119886.75,3119886.75,1.31975532072559,771,16099.3795518425
"23752032",1448015.72495342,1559109.875,1448015.72495342,1.31796177454657,662,13766.3471363114
"23752034",4973691.56515068,4827362,4973691.56515068,1.31577613792871,1744,36084.5113959764
"23752036",375945.875556164,625891.9375,375945.875556164,1.31345850547922,198,4074.95669047493
"23752038",217682.649205479,222033.96875,217682.649205479,0.546064461199029,2372,8339.11933351015
"23752040",NA,61414.0078125,61414.0078125,0.375626314884209,76,180.490694367513
"23752042",40123.7553041096,31795.533203125,40123.7553041096,0.154040445607366,2589,3692.80034336374
"23752044",NA,1502566.75,1502566.75,1.30532907592143,760,15351.2405504167
"23752046",3784414.56147945,3479282.25,3784414.56147945,1.3052566946426,463,9350.5613854129
"23752048",4292541.15452055,4221632,4292541.15452055,1.3018416296301,1786,35786.6398715004
"23752050",444273.857663014,471063.75,444273.857663014,0.802536667258085,1897,12039.4084887201
"23752052",440222.784493151,458343.59375,440222.784493151,0.781055014249077,1302,7864.45314224046
"23752054",130602.155053973,177015.078125,130602.155053973,0.759114513480309,95,545.574299176831
"23752056",345264.606493151,336679.1875,345264.606493151,0.732559567297089,1370,7400.96716844103
"23752058",308849.999753425,299873.25,308849.999753425,0.704640589001151,1652,8369.04621150342
"23752060",280866.334684931,268412.25,280866.334684931,0.680750732935796,1794,8601.07815004235
"23752062",141782.183424658,156674.34375,141782.183424658,0.510411590937741,1402,4541.02708845915
"23752064",116576.463772603,121878.59375,116576.463772603,0.438264705038056,4824,13232.61120322
"23752066",4170488.25780822,4133796.25,4170488.25780822,1.27316034807866,1115,20913.8736738426
"23752068",4027569.63172603,3910595.75,4027569.63172603,1.27020111088591,1250,23286.8223658832
"23752070",3630336.7420274,3572390,3630336.7420274,1.25445610729091,920,16528.9823162737
"23752072",NA,2280310.25,2280310.25,1.25226523516772,346,6185.01021423653
"23752074",NA,2690285.5,2690285.5,1.25192672015921,322,5751.52014974411
"23752076",NA,2224087.5,2224087.5,1.25170076468684,90,1606.73456039194
"23752078",741021.363534247,724265.5,741021.363534247,0.932576534106025,3994,34196.4915525052
"23752080",656284.354273973,645731,656284.354273973,0.899665190677704,1757,13945.5999677051
"23752082",98546.4649364384,153881.484375,98546.4649364384,0.882464627159863,550,4195.93159424461
"23752084",578044.694457534,515904.40625,578044.694457534,0.851528109802631,1231,8745.43073381075
"23752086",512348.2962,463984.96875,512348.2962,0.838718152954313,632,4359.39331595844
"23752088",503051.532526027,505278.84375,503051.532526027,0.829112650007567,374,2523.4210480385
"23752090",NA,162092.375,162092.375,0.820403405189378,162,1071.32242373519
"23752092",464461.344764384,493210.75,464461.344764384,0.803952908577999,1822,11600.9015550765
"23752094",308224.096413699,306126.8125,308224.096413699,0.716242842224004,1473,7663.85482120497
"23752096",241944.765715068,257179.453125,241944.765715068,0.678515912762722,632,3014.84295198565
"23752098",268788.017671233,242891.71875,268788.017671233,0.660877151743767,1541,7058.27119352683
"23752100",83442.7012438356,110797.6875,83442.7012438356,0.484001801104652,1137,3465.43394847131
"23752102",81805.5978493151,95892.4140625,81805.5978493151,0.397640522244179,6004,14999.8866031881
"23752104",123591.04230411,143012.328125,123591.04230411,0.488898508030914,593,1827.79490678481
"23752106",128446.120849315,125777.2421875,128446.120849315,0.436176965446205,4916,13418.2939849368
"23752108",3012172.05624658,2997098,3012172.05624658,1.18665812208322,1972,30308.4213147549
"23752110",3127586.02635616,3024785,3127586.02635616,1.18384363355245,1668,25470.4299324297
"23752112",242155.47139726,224351.859375,242155.47139726,0.609936314353017,3072,12513.3494810231
"23752114",184507.895589041,155625.515625,184507.895589041,0.481513545363937,5862,17763.8651330619
"23752116",2904256.63915068,2872111.25,2904256.63915068,1.16218604560474,2479,36012.9609437454
"23752118",2679922.87578082,2644313,2679922.87578082,1.15474072734364,1385,19778.2353012534
"23752120",1373658.18929589,1455867.125,1373658.18929589,1.14097553648828,456,6308.74665465776
"23752122",1878888.1709589,1855424.25,1878888.1709589,1.07167283377297,767,9046.23699146564
