"COMID","FromNode","ToNode","Hydrosq","AreSqKM","cum_totco2g_day","TOT_urban16","TOT_forest16","TOT_wetland16","TOT_agrc16","TOT_shrub16","CAT_STREAM_LENGTH","CAT_STREAM_SLOPE","TOT_STREAM_LENGTH","TOT_STREAM_SLOPE","CAT_BASIN_AREA","TOT_BASIN_AREA","totco2g_day_fill","tdrainage_m2","cum_totco2g_day_tdm2"
"23099464",50019166,50019165,50004695,2.6874,2016.01812359443,4.92,29.21,1.32,14.48,23.32,1.456,0,11405.15,0.034008,2.69,15093.28,0.752914877271791,0.01509328,49.8841124839525
"23099466",50019167,50019166,50017303,0.0063,0.269175850935996,1.39,0.01,0,4.43,25.51,0.061,0.02,820.61,0.026663,0.01,871.02,0.0053654508954247,0.00087102,6.15996291178699
"23099468",50019168,50019167,50017503,2.5596,0.263810400040571,1.39,0.01,0,4.43,25.51,1.438,0,820.55,0.026641,2.56,871.01,0.00011521836742042,0.00087101,0.132281337091905
"23099470",50019169,50019168,50017702,11.0466,0.263620351241129,1.41,0.01,0,4.5,25.76,1.518,0,798.74,0.026579,11.05,856.41,6.89531337296321e-05,0.00085641,0.0805141622933316
"23099472",50019170,50019169,50017903,2.1474,0.26354639128866,1.41,0.01,0,4.57,25.21,1.413,0,793.2,0.026715,2.15,842.45,7.76585398511826e-05,0.00084245,0.0921817791574368
"23099474",50019171,50019170,50018110,14.4504,0.263459302094914,1.43,0.01,0,4.6,25.26,1.147,0,785.42,0.026941,14.45,836.56,2.79216423524116e-05,0.00083656,0.033376736100712
"23099484",50019172,50140799,50022263,26.2224,0.0667670154945834,1.57,0.01,0,6.13,17.15,0.922,0,605.61,0.026106,26.22,628.4,1.32510264837036e-05,0.0006284,0.0210869294775679
"23099486",50019173,50019172,50022633,1.0656,0.0568381617879162,1.29,0.01,0,6.6,15.15,2.018,0,566.89,0.024555,1.07,578.98,5.24871736005329e-05,0.00057898,0.0906545538715205
"23099488",50019174,50019173,50025275,2.097,0.043339845172737,2.6,0.02,0,5.66,25.93,1.848,0,168.35,0.017345,2.1,236.02,5.67295910975063e-05,0.00023602,0.240359253866225
"23099492",50019175,50140802,50026954,2.5839,0.0338683639029835,0.32,0.03,0,8.37,32.22,3.638,0.01,138.88,0.020305,2.58,151.51,7.40771755039421e-05,0.00015151,0.488925981809399
"23099494",50019176,50019175,50027573,0.612,0.0337877873101402,0.26,0.03,0,8.76,33.68,1.71,0.01,130.06,0.021375,0.61,144.84,8.54392441373362e-05,0.00014484,0.58988707634173
"23099496",50019177,50019176,50028232,0.0108,0.0336814644634936,0.25,0.03,0,7.79,34.9,0.124,0.02,120.6,0.022886,0.01,138.67,3.31034319203147e-05,0.00013867,0.238720934018279
"23099498",50019178,50019177,50028942,1.2465,0.0335760771174497,0.19,0.03,0,6.18,38.81,1.091,0.01,110.46,0.024624,1.25,123.63,7.21799640101007e-05,0.00012363,0.583838582949937
"23099500",50019179,50019178,50029710,0.5301,0.0335025219243813,0.19,0.03,0,6.31,39.27,0.98,0.01,107.01,0.024951,0.53,121.02,6.2702276452337e-05,0.00012102,0.518114992995679
"23099502",50019180,50019179,50030519,2.1222,0.033193955157217,0.07,0.03,0,1.59,44.47,3.831,0.02,90.68,0.027569,2.12,102.44,0.000167486542571502,0.00010244,1.63497210632079
"23099504",50019181,50019180,50031388,1.3113,0.0330127511630288,0,0.03,0,0.41,46.81,1.197,0.02,82.39,0.029372,1.31,96.01,0.00012510493531293,9.601e-05,1.30304067610592
"23099506",50019182,50019181,50032312,1.6767,0.0328852407646145,0,0.03,0,0.03,48.38,1.796,0.02,78.79,0.029572,1.68,92.83,0.000165327306921592,9.283e-05,1.78096851148974
"23099508",50019183,50019182,50033316,0.0027,0.0327137080783899,0,0.03,0,0.03,51.06,0.029,0.19,74.19,0.030193,0,87.94,0.0214361770742767,8.794e-05,243.759120699076
"23099510",50019184,50019183,50034388,1.7388,0.0111989591671961,0,0.04,0,0.03,54.86,1.374,0.02,67.25,0.02974,1.74,81.77,0.000120845416876038,8.177e-05,1.47786984072445
"23099512",50019185,50019184,50035550,0.0756,0.0110575886800432,0,0.04,0,0.03,58.61,0.273,0.04,62.34,0.030638,0.08,76.51,0.000165909880977776,7.651e-05,2.16847315354563
"23099514",50019186,50019185,50036818,0.9387,0.0108900148548616,0,0.04,0,0.03,59.8,0.827,0.03,60.09,0.029789,0.94,74.98,0.000340313305937198,7.498e-05,4.53872107144836
"23099516",50019187,50019186,50038220,5.3109,0.0105374603307456,0,0.04,0,0,63.15,2.324,0.02,55.96,0.0302,5.31,70.99,0.000193669460238049,7.099e-05,2.7281231192851
"23099518",50019188,50019187,50039800,2.7603,0.0103398358948184,0,0.05,0,0,71.92,1.074,0.02,50.94,0.031802,2.76,61.95,0.00016023454561032,6.195e-05,2.58651405343534
"23099520",50019189,50019188,50041567,0.0324,0.010176133423004,0,0.05,0,0,75.64,0.147,0.04,48.05,0.030801,0.03,58.36,6.38688923571382e-05,5.836e-05,1.09439500269257
"23099522",50019190,50019189,50043547,2.4552,0.0101100737669568,0,0.05,0,0,76.11,1.216,0.03,44.98,0.03068,2.46,55.95,0.000343599289509419,5.595e-05,6.14118479909597
"23099524",50019191,50019190,50045811,0.7362,0.00975434060273308,0,0.06,0,0,81.87,0.767,0.01,41.17,0.031091,0.74,50.72,2.03008791221749e-05,5.072e-05,0.400253925910388
"23099526",50019192,50019191,50048384,0.6966,0.00973212809658422,0,0.06,0,0,82.43,0.671,0.02,37.68,0.032113,0.7,47.33,2.55196210372025e-05,4.733e-05,0.539184894088369
"23099528",50019193,50019192,50051339,0.3033,0.00968109434276829,0,0.06,0,0,81.71,0.522,0.02,35.19,0.030406,0.3,44.68,2.65985247108082e-05,4.468e-05,0.595311654225789
"23099530",50019194,50019193,50054809,4.7079,0.00964826614910395,0,0.07,0,0,82.76,1.62,0.02,31.53,0.031082,4.71,42.21,8.83716788796373e-05,4.221e-05,2.09361949489783
"23099532",50019195,50019194,50058925,0.036,0.009548700418408,0,0.07,0,0,82.64,0.165,0.05,28.11,0.030238,0.04,36.14,5.15209229594954e-05,3.614e-05,1.42559277696445
"23099534",50019196,50019195,50063894,0.3033,0.0094954247843949,0,0.07,0,0,82.91,0.613,0.03,24.64,0.030438,0.3,33.97,5.35681997665394e-05,3.397e-05,1.57692669315689
"23099536",50019197,50019196,50070170,0,0.00941161575630047,0,0.08,0,0,82.29,0.018,0,21.9,0.027397,0,31.94,0.00849156257791298,3.194e-05,265.859817718002
"23099538",50019198,50019197,50078306,5.7924,0.000900142669186839,0,0.09,0,0,83.61,2.162,0.03,18.33,0.030005,5.79,27.19,0.000110454747411685,2.719e-05,4.06232980550516
"23099540",50019199,50019198,50089455,0.1071,0.000783874686065699,0,0.13,0,0,86.02,0.182,0.06,13.23,0.034769,0.11,18.77,4.52194794549001e-05,1.877e-05,2.40913582604689
"23099542",50019200,50019199,50106294,6.606,0.000432798665463676,0,0.14,0,0,84.5,1.949,0.04,10.9,0.025688,6.61,16.87,0.000100317148496411,1.687e-05,5.94648183144109
"23099544",50019201,50019200,50137443,0.1233,0.000301451790535022,0,0.13,0,0,84.08,0.407,0.04,5.84,0.027397,0.12,8.04,6.67285973176674e-06,8.04e-06,0.82995767808044
"23099546",50155213,50019201,50219491,4.4307,0.000102228185007243,0,0.24,0,0,87.57,3.59,0.07,3.59,0.019499,4.43,4.43,0.000102228185007243,4.43e-06,23.0763397307546
"23099548",50019202,50019166,50004708,7.506,2014.99603286622,5.14,31.01,1.4,15.09,23.18,1.313,0,10583.09,0.034583,7.51,14219.58,0.082988777770906,0.01421958,5.83623269962306
"23099550",50019203,50019202,50004721,0.4581,2014.90032706227,5.15,31.04,1.41,15.09,23.19,0.722,0,10566.48,0.034617,0.46,14205.21,0.0231956663482787,0.01420521,1.63289851739458
"23099552",50019204,50019203,50004734,0.7875,2014.87713139592,5.15,31.04,1.41,15.09,23.19,0.419,0,10565.76,0.034619,0.79,14204.75,0.202945744207938,0.01420475,14.2871746569238
"23099554",50019205,50019204,50004747,3.1491,2014.67418565171,5.15,31.04,1.41,15.09,23.19,1.495,0,10565.34,0.034621,3.15,14203.97,0.0636886087933381,0.01420397,4.48385970917554
"23099558",50019206,50140804,50004790,0.1953,2013.40401784344,5.15,31.08,1.41,15.11,23.2,0.325,0,10539.27,0.034646,0.2,14186.58,0.00379990909291647,0.01418658,0.2678523712492
"23099560",50019207,50019206,50004804,1.5552,2013.3967656051,5.15,31.08,1.41,15.11,23.21,0.977,0,10537.01,0.034634,1.56,14185.36,0.0512569862339857,0.01418536,3.6133722537874
"23099562",50019208,50019207,50004818,0.2601,2013.3415812684,5.15,31.09,1.41,15.11,23.21,0.343,0,10533.88,0.034607,0.26,14182.71,0.0123959035850799,0.01418271,0.874015162481636
"23099564",50019209,50019208,50004832,13.2804,2013.32418895737,5.15,31.09,1.41,15.11,23.21,2.523,0,10526.98,0.034575,13.28,14178.78,0.1739947901867,0.01417878,12.2714923418447
"23099566",50019210,50019209,50004846,2.0781,2013.14696726606,5.14,31.13,1.41,15.12,23.2,1.58,0,10522.27,0.034588,2.08,14164.25,0.1039143591046,0.01416425,7.33638273149654
"23099568",50019211,50019210,50004862,8.4924,2013.04305290696,5.13,31.13,1.41,15.11,23.2,0.788,0,10520.69,0.034593,8.49,14162.17,0.0713285965044593,0.01416217,5.03655841615086
"23099570",50019212,50019211,50004878,7.1028,2012.97172431045,5.12,31.15,1.41,15.09,23.2,1.829,0,10519.9,0.034595,7.1,14153.68,0.658738729956768,0.01415368,46.5418696732417
"23099572",50019213,50019212,50004892,1.8522,2012.3129855805,5.12,31.16,1.41,15.07,23.2,0.25,0,10518.07,0.034601,1.85,14146.58,0.388451742879096,0.01414658,27.459056738738
"23099576",50019214,50140806,50004931,1.0422,2009.62976409927,5.09,31.37,1.42,14.82,23.26,0.438,0,10493.07,0.034661,1.04,14053.48,0.476845553966777,0.01405348,33.9307811280037
"23099578",50019215,50019214,50004945,4.6278,2009.15291854531,5.08,31.37,1.42,14.82,23.26,1.599,0,10492.64,0.034662,4.63,14052.44,4.18193861883762,0.01405244,297.595194773123
"23099580",50019216,50019215,50004959,2.2428,2004.9664755146,5.07,31.39,1.42,14.81,23.26,0.804,0,10488.12,0.034653,2.24,14045.42,0.802010375361771,0.01404542,57.1012027665795
"23099582",50019217,50019216,50004974,0.0135,2004.16071583013,5.07,31.4,1.42,14.8,23.26,0.088,0,10485.91,0.034656,0.01,14041.46,0.563549777905815,0.01404146,40.1346995188403
"23099584",50019218,50019217,50004988,0.3357,2003.59716605222,5.07,31.4,1.42,14.8,23.26,0.362,0,10485.82,0.034656,0.34,14041.45,0.32912756264939,0.01404145,23.439713323723
"23099586",50019219,50019218,50005001,0.5319,2003.26803848957,5.07,31.4,1.42,14.8,23.26,0.546,0,10485.46,0.034658,0.53,14041.12,0.405926615506739,0.01404112,28.909845903086
"23099588",50019220,50019219,50005014,0.1278,2002.86211187406,5.07,31.4,1.42,14.8,23.26,0.29,0,10484.91,0.034659,0.13,14040.58,0.462596390575778,0.01404058,32.9470998046931
"23099590",50019221,50019220,50005029,0.5814,2002.39951548349,5.07,31.4,1.42,14.8,23.26,0.174,0,10484.62,0.03466,0.58,14040.46,0.102157065127655,0.01404046,7.27590585548157
"23099594",50019222,50140807,50005071,1.0998,2000.78455831142,5.08,31.66,1.43,14.68,23.19,0.879,0,10296.79,0.034536,1.1,13924.6,0.246867840270529,0.0139246,17.7288999519217
"23099596",50019223,50019222,50005087,1.4652,2000.53769047115,5.08,31.66,1.43,14.68,23.19,0.225,0,10295.91,0.034539,1.47,13923.5,0.183829810480624,0.0139235,13.2028448652008
"23099598",50019224,50019223,50005103,3.492,2000.34954093751,5.08,31.67,1.43,14.69,23.18,1.349,0,10293.11,0.034539,3.49,13920.63,0.542887386675623,0.01392063,38.9987656216438
"23099600",50019225,50019224,50005120,2.8602,1999.80665355084,5.08,31.68,1.43,14.69,23.18,0.748,0,10291.76,0.034543,2.86,13917.13,0.275350170736341,0.01391713,19.7849823014042
"23099602",50019226,50019225,50005136,12.6063,1999.5279524284,5.08,31.69,1.43,14.69,23.17,3.337,0,10289.19,0.034537,12.61,13912.94,2.94282770911404,0.01391294,211.5173147526
