"COMID","totco2g_day","CAT_ELEV_MIN","CAT_ELEV_MAX","CAT_STREAM_SLOPE","TOT_BASIN_AREA","TOT_BASIN_SLOPE","TOT_ELEV_MEAN","TOT_ELEV_MIN","TOT_ELEV_MAX","TOT_STREAM_SLOPE","sinuosity","CAT_NID_STORAGE2010","CAT_EVI_JAS_2012","TOT_EVI_JAS_2012","CAT_CONTACT","TOT_CONTACT","CAT_PET","TOT_PET","CAT_AET","TOT_AET","CAT_OM","CAT_PERMAVE","TOT_OM","TOT_PERMAVE","CAT_SILTAVE","CAT_CLAYAVE","CAT_SANDAVE","TOT_SILTAVE","TOT_CLAYAVE","TOT_SANDAVE","urban","forest","wetland","agrc","shrub","turban","tforest","twetland","tagrc","tshrub","CAT_PPT7100_ANN","TOT_PPT7100_ANN","CAT_RUN7100","TOT_RUN7100","CAT_TWI","TOT_TWI","CAT_BFI","TOT_BFI"
"23751772",NA,144.36,149.09,0,3516.44,31.23,1001.45,144.36,2655.83,0.043053,1,0,0.37,0.39,14,89.59,658,566.78,633.32,601.46,1.27,4.67,2.77,2.07,46.42,16.5,37.08,45.9,25.86,28.25,0,1.09,51.09,23.91,0,0.86,78.83,0.27,1.77,12.39,1184.79,1584.28,1084,1083.91,10.41,9.93,39,65.11
"23751774",NA,145.23,145.27,0,3516.35,31.24,1001.47,145.23,2655.83,0.043058,1,0,0.39,0.39,14,89.59,658,566.78,633.32,601.46,1.27,4.67,2.77,2.07,46.42,16.5,37.08,45.9,25.86,28.25,0,0,0,0,0,0.86,78.83,0.27,1.77,12.39,1183.99,1584.29,1084,1083.91,11.17,9.93,39,65.11
"23751776",103797747.780822,145.25,493.24,0,3516.35,31.24,1001.47,145.25,2655.83,0.043059,1.33,0,0.43,0.39,29.32,89.59,655.53,566.78,563.36,601.46,1.54,1.47,2.77,2.07,51.39,33.06,15.6,45.9,25.86,28.25,9.83,15.74,15.92,33.21,10.33,0.86,78.83,0.27,1.77,12.39,1231.41,1584.29,1094.72,1083.91,11.3,9.93,39.9,65.11
"23751778",10282323.369863,158.64,210.07,0.01,3494.86,31.36,1006.05,158.64,2655.83,0.043242,1,0,0.32,0.39,49.57,88.24,654.09,566.24,445.45,601.62,1.44,3.54,2.77,2.08,46.2,23.6,30.2,45.88,25.79,28.33,17.56,2.3,4.83,74.01,0.82,0.83,79.15,0.22,1.6,12.38,1192.4,1586.19,1002.53,1083.8,12.14,9.93,40.11,65.26
"23751780",45220895.8520548,162.38,323.07,0,3438.71,31.57,1015.7,162.38,2655.83,0.043375,1.09,0,0.37,0.39,249.9,80.46,653.37,564.94,443.95,601,1.42,3.64,2.78,2.1,46.22,22.96,30.83,45.94,25.54,28.52,17.36,3.96,11.11,60.11,2.23,0.81,79.61,0.21,1.45,12.18,1191.24,1589.05,1046.04,1083.82,13.35,9.93,40.53,65.6
"23751782",16369919.9753425,165.96,428.1,0,3404.26,31.78,1023.4,165.96,2655.83,0.043673,1.01,0,0.44,0.39,1256.68,77.24,652.99,564.09,469.37,600.96,1.47,3.31,2.79,2.1,46.15,25.04,28.81,45.94,25.45,28.61,12.88,16.59,13.73,31.88,10.53,0.72,80.15,0.18,1.04,12.21,1206.3,1592.85,1084,1084.21,12.39,9.91,41.54,65.85
"23751784",NA,169.21,169.56,0,27.88,13.12,272.83,168.64,728.59,0.001621,1,0,0.36,0.41,1538,420.9,653,647.02,437.54,642.08,1.27,4.67,1.79,1.5,46.42,16.5,37.08,45.46,36.45,18.1,0,0,80,20,0,6.8,30.63,0.89,37.5,11.1,1190.46,1218.47,1084,1045.61,13.35,10.87,41,41.75
"23751786",559888.109589041,168.64,728.59,0.02,27.88,13.12,272.84,168.64,728.59,0.001631,1.42,0,0.41,0.41,420.72,420.72,647.02,647.02,642.11,642.11,1.79,1.5,1.79,1.5,45.46,36.45,18.1,45.46,36.45,18.1,6.8,30.63,0.88,37.5,11.1,6.8,30.63,0.88,37.5,11.1,1218.48,1218.48,1045.61,1045.61,10.87,10.87,41.75,41.75
"23751788",1087271.13912329,170.35,199.81,0.01,2748.51,31.59,1107.88,170.35,2655.83,0.046712,1,0,0.41,0.38,209,56.02,653,552.34,481.28,589.12,1.27,4.67,2.82,2.29,46.42,16.5,37.08,46.37,23.3,30.33,14.29,31.43,0,17.14,25.71,0.86,80.21,0.14,0.83,12.59,1208.72,1575.26,1084,1083.93,12.39,9.85,42,68.42
"23751790",1883190.07068493,171.59,172.09,0,2748.15,31.6,1108,171.59,2655.83,0.04673,1.02,0,0.4,0.38,209,56,653,552.33,484.1,589.13,1.27,4.67,2.82,2.29,46.42,16.5,37.08,46.37,23.3,30.33,16.95,20.34,1.69,35.59,0,0.86,80.22,0.14,0.83,12.59,1200.76,1575.3,1084,1083.93,12.39,9.85,42,68.42
