"COMID","FromNode","ToNode","TotDASqKM","cum_totco2g_day","cum_stream_area_m2","cum_stream_length_m","cum_totco2g_day_Tdrain_m2","cum_totco2g_day_Tsurface_m2"
"23751930",50074798,50074797,1316.3796,291590653.207427,3368900.89269909,851785,0.221509550290377,86.5536453860508
"23751932",50074799,50074798,1311.4998,280678789.261222,3314826.28235428,847533,0.214013596693817,84.6737552297541
"23751934",50074800,50074799,1311.3936,276654083.261222,3308750.34828774,847345,0.210961898289897,83.6128610925236
"23751936",50074801,50074800,1311.309,272883692.011222,3302642.35579142,847156,0.208100220475282,82.6258682029863
"23751938",50074802,50074801,1017.5706,207794401.729186,2558837.61370735,658932,0.20420637322775,81.2065605945681
"23751940",50074803,50074802,1017.5049,204469195.479186,2555076.66984181,658799,0.200951558542063,80.024681017437
"23751942",50074804,50074803,1012.7493,199372725.904254,2530484.88663269,655582,0.196862862215016,78.7883488091323
"23751944",50074805,50074804,1008.855,193313082.904254,2498103.05806832,654434,0.191616320387225,77.3839503057712
"23751946",50074806,50074805,1008.2979,190712837.534775,2485857.79883216,653999,0.189143344972527,76.7191259388894
"23751948",50074807,50074806,852.5772,177335627.948876,2145089.90029311,545571,0.207999496056047,82.6704875747373
"23751950",50074808,50074807,852.3288,173561072.948876,2134655.74408448,545166,0.203631594930121,81.3063527596173
"23751952",50074809,50074808,40.8159,870831.606460603,59895.6474134591,26312,0.0213355973152767,14.5391467338062
"23751954",50074810,50074809,40.5099,870831.606460603,56914.5652818779,25739,0.0214967602107288,15.3006809794238
"23751956",50074811,50074810,27.5706,811715.421322192,38573.880423724,19865,0.0294413404612954,21.0431362467481
"23751958",50074812,50074811,21.6621,543013.504923288,28102.5613822011,14043,0.0250674452118349,19.3225627208205
"23751960",50074813,50074812,16.6473,332386.403169863,18881.5523604492,10345,0.0199663851297125,17.6037646070937
"23751962",50074814,50074813,8.2035,133825.294947945,8897.62273994782,5814,0.0163131949714079,15.0405674481013
"23751964",50191445,50074814,3.1068,37724.4152465753,3187.6751165618,2377,0.0121425309793277,11.8344604977387
"23751966",50074815,50074808,806.3541,172675429.403591,2026255.15172504,516971,0.21414342582693,85.2189958686026
"23751968",50074816,50074815,800.9361,168870631.043222,1986290.4587649,513165,0.210841577802801,85.0180950615993
"23751970",50074817,50074816,44.7579,1946200.62239452,72763.291347083,29424,0.0434828404012369,26.7470119391808
"23751972",50074818,50074817,44.1198,1062366.30989452,69371.8235168488,28803,0.0240791279628312,15.3140894391582
"23751974",50074819,50074818,40.0248,974029.497394521,57046.3414757156,26529,0.024335649332277,17.0743552031143
"23751976",50074820,50074819,33.9246,763658.231095891,44054.0530492322,21289,0.0225104564562557,17.334573739276
"23751978",50074821,50074820,19.7361,531966.63630411,25851.7943837055,15590,0.0269539897094213,20.5775517323243
"23751980",50074822,50074821,12.1014,335899.302739726,15858.1853353352,11461,0.027757061392874,21.181446403661
"23751982",50074823,50074822,7.2738,159042.290334247,8259.54807659356,5724,0.0218650898202105,19.2555680842819
"23751984",50191446,50074823,3.618,47801.6016657534,3620.89812706195,2492,0.0132121618755537,13.2015870064095
"23751986",50074824,50074816,753.3423,163123070.670828,1888048.9406405,482719,0.216532472251761,86.39769190278
"23751988",50074825,50074824,745.0641,160785215.222686,1867937.60201309,477928,0.215800513301723,86.0763309488532
"23751990",50074826,50074825,737.7894,156763778.246613,1799729.52185883,472440,0.21247767756844,87.1040766640875
"23751992",50074827,50074826,721.215,152648479.523354,1745402.27816094,463397,0.211654609961459,87.4574769572282
"23751994",50074828,50074827,693.7668,148567444.080443,1684984.30704069,447581,0.21414608493869,88.1714111280772
"23751996",50074829,50074828,690.7464,144380498.53603,1664204.46947608,444140,0.209020993140218,86.7564660377841
"23751998",50074830,50074829,685.809,137468193.78603,1626260.90242657,442492,0.200446762562215,84.5302211846276
"23752000",50074831,50074830,685.647,135042337.53603,1616924.94000287,442086,0.196956068554271,83.5180002454476
"23752002",50074832,50074831,681.3423,133837411.946068,1608796.92000391,438733,0.196431972513769,83.1909921519136
"23752002",50074832,50074831,681.3423,133837411.946068,1608796.92000391,438733,0.196431972513769,83.1909921519136
"23752002",50074832,50074831,681.3423,133837411.946068,1608796.92000391,438733,0.196431972513769,83.1909921519136
"23752002",50074832,50074831,681.3423,133837411.946068,1608796.92000391,438733,0.196431972513769,83.1909921519136
"23752002",50074832,50074831,681.3423,133837411.946068,1608796.92000391,438733,0.196431972513769,83.1909921519136
"23752002",50074832,50074831,681.3423,133837411.946068,1608796.92000391,438733,0.196431972513769,83.1909921519136
"23752002",50074832,50074831,681.3423,133837411.946068,1608796.92000391,438733,0.196431972513769,83.1909921519136
"23752002",50074832,50074831,681.3423,133837411.946068,1608796.92000391,438733,0.196431972513769,83.1909921519136
"23752004",50074833,50074832,681.1497,129916820.696068,1577377.66370949,437361,0.190731671314056,82.3625335168909
"23752006",50074834,50074833,667.9098,129392070.099306,1554827.86553257,429854,0.193726862668142,83.2195466570094
"23752008",50074835,50074834,637.0956,126566561.282647,1494310.18475323,410160,0.198661804103885,84.6989885861938
"23752010",50191447,50074835,14.3964,131101.593041096,24610.1015061789,8187,0.00910655393300381,5.32714556289742
