"","comid","urbn","frst","wtnd","agrc","shrb","urbn_t","frst_t","wtnd_t","agrc_t","shrb_t"
"1952",23763229,6.95,16.8,24.57,47.23,3.69,5.75,49.18,1.5,17.91,20.84
"1953",23763231,7.24,31.79,3.07,32.77,22.84,5.67,49.32,1.3,17.46,21.32
"1954",23763233,7.9,24.89,3.07,30.84,32.6,5.15,49.39,1.24,16.52,22.63
"1955",23763235,4.5,29.36,3.92,21.82,35.63,5.03,49.78,1.25,17.36,21.61
"1956",23763237,6.1,39.64,1.76,45.1,5.52,5,51.23,1.17,16.64,21.16
"1957",23763239,10.45,39.41,4.18,36.63,5.01,5.12,50.93,1.21,17.1,20.59
"1958",23763241,4.47,36.18,4.16,36.58,16.59,5.2,51.95,1.24,15.52,21.67
"1959",23763243,6.21,55.53,6.74,20.23,10.62,5.26,55.18,1.01,14.43,20.06
"1960",23763245,11.38,23.7,3.34,52.53,9.07,4.29,55.51,0.71,15.38,19.58
"1961",23763247,5.16,29.23,0.89,44.99,17.85,4.8,57.29,0.46,16.33,17.5
"1962",23763249,5.33,69.43,0.31,3.85,16.35,5.33,69.43,0.31,3.85,16.35
"1963",23763251,0,0,26.93,72.59,0,43.84,8.5,3.53,40.03,0.74
"1964",23763253,6.53,0,1.37,91.58,0.11,43.94,8.53,3.48,39.95,0.74
"1965",23763255,0,0,0.86,99.14,0,44.88,8.74,3.53,38.65,0.76
"1966",23763257,7.55,0,0.23,92.22,0,45.12,8.79,3.54,38.34,0.76
"1967",23763259,6.24,0.34,0.95,91.9,0,46.45,10.21,4.09,34.69,0.86
"1968",23763261,1.9,0,4.27,93.84,0,50.5,11.8,4.63,27.85,1
"1969",23763263,19.22,0.41,5.13,72.97,0.23,51.05,11.94,4.64,27.08,1.01
"1970",23763265,13.81,0,3.01,83.14,0.05,51.47,12.09,4.63,26.46,1.02
"1971",23763267,10.5,0,1.19,87.5,0,49.75,14.43,5.4,24.25,1.12
"1972",23763269,71.81,0,0.05,27.97,0,52.61,15.47,5.7,19.66,1.2
"1973",23763271,6.48,5.84,23.01,40.94,1.39,50.9,16.85,6.21,18.92,1.3
"1974",23763273,58.89,7.55,2.02,29.2,0.82,62.09,19.63,1.96,13.36,1.28
"1975",23763275,88.57,7.94,0.19,1.37,0.93,76.32,21.31,0.09,0.65,0.95
"1976",23763277,65.32,33.31,0,0,0.96,65.32,33.31,0,0,0.96
"1977",23763279,2.59,0,8.08,78.55,0,2.62,71.68,0.65,5.06,13.52
"1978",23763281,0.23,1.24,21.13,61.92,0,2.62,71.7,0.65,5.03,13.53
"1979",23763283,0,6.9,24.14,37.93,0,2.62,71.7,0.65,5.03,13.53
"1980",23763285,0,0.48,9.66,65.22,3.38,2.62,71.76,0.64,4.97,13.54
"1981",23763287,5.02,0,7.31,53.88,0,2.62,71.76,0.64,4.97,13.54
"1982",23763289,11.5,0,19.84,42.06,0,2.62,71.76,0.64,4.96,13.54
"1983",23763291,0,0,7.76,56.33,0,2.62,71.81,0.64,4.89,13.55
"1984",23763293,0,0,14,45,0,2.62,71.82,0.64,4.89,13.55
"1985",23763295,0,0,46.28,33.06,0,2.62,71.82,0.64,4.89,13.55
"1986",23763297,0,0,33.01,31.13,0,2.62,71.82,0.64,4.89,13.55
"1987",23763299,0,0,21.74,33.33,0,2.62,71.82,0.64,4.89,13.55
"1988",23763301,0.65,0,32.9,40.65,0,2.62,71.82,0.64,4.89,13.55
"1989",23763303,0,0,25.31,58.64,0,2.62,71.82,0.64,4.89,13.55
"1990",23763305,2.69,0,4.35,83.85,1.24,2.62,71.82,0.64,4.89,13.55
"1991",23763307,1.56,0,10.33,73.08,0.63,2.62,71.83,0.63,4.88,13.55
"1992",23763309,0,0,16.13,77.76,0,2.63,71.84,0.63,4.88,13.55
"1993",23763311,6.69,0,17.91,54.27,0,2.63,71.84,0.63,4.87,13.55
"1994",23763313,19.3,0.41,0.66,78.98,0.03,22.82,0.21,0.64,75.71,0.03
"1995",23763315,11.26,0,0.12,87.87,0.02,11.26,0,0.12,87.87,0.02
"1996",23763317,19.68,0,1.74,78.23,0,41.17,0.09,1.15,57.18,0.04
"1997",23763321,70.81,0.2,0.15,28.34,0.1,70.81,0.2,0.15,28.34,0.1
"1998",23763323,4.92,0,4.92,79.24,0,2.43,72.68,0.62,4.02,13.71
"1999",23763325,4.32,0,16.33,66.09,0,2.43,72.7,0.62,4,13.71
"2000",23763327,6.6,0,52.75,12.08,0,2.43,72.71,0.62,3.99,13.72
"2001",23763329,10.26,0,15.38,65.38,0,2.43,72.71,0.62,3.99,13.72
"2002",23763331,0,0,45.73,38.42,0,2.43,72.71,0.62,3.99,13.72
"2003",23763333,2.99,0,16.05,70.04,0,2.43,72.72,0.62,3.99,13.72
"2004",23763335,0,0,13.91,47.69,0,2.43,72.86,0.61,3.83,13.74
"2005",23763337,20.47,0.47,14.5,49.28,0.45,2.43,72.86,0.61,3.83,13.74
"2006",23763339,9.66,0,23.15,56.63,0,2.41,72.93,0.59,3.78,13.76
"2007",23763341,0,0,38.96,32.56,0,2.41,72.93,0.59,3.78,13.76
"2008",23763343,0,0,10.58,70.89,0,2.41,72.93,0.59,3.78,13.76
"2009",23763345,0,4.51,7.79,68.44,2.05,2.41,72.94,0.59,3.77,13.76
"2010",23763347,0,19.23,11.54,26.92,0,2.41,72.94,0.59,3.77,13.76
"2011",23763349,0,0.58,10.47,43.02,5.81,2.41,72.94,0.59,3.77,13.76
"2012",23763351,5.26,0,30.13,60.07,0.54,2.39,73.14,0.58,3.54,13.8
"2013",23763353,1.48,0,15.2,71.02,1.02,2.39,73.14,0.58,3.53,13.8
"2014",23763355,0,0,45.37,34.3,2.9,2.39,73.17,0.57,3.5,13.8
"2015",23763357,1.17,0.53,16.03,70.47,0.96,2.39,73.17,0.57,3.5,13.8
"2016",23763359,2.13,0,43.01,28.79,1.07,2.39,73.2,0.57,3.48,13.81
"2017",23763361,6.88,0.72,12.4,69.61,4.15,2.39,73.2,0.56,3.48,13.81
"2018",23763363,6.67,2.44,15.79,63.96,2.62,2.39,73.22,0.56,3.47,13.81
"2019",23763365,4.09,0,2.2,83.68,0.94,2.39,73.29,0.55,3.41,13.82
"2020",23763367,0.58,0.97,60.08,8.14,0,2.39,73.29,0.54,3.4,13.82
"2021",23763369,0.58,0.97,60.08,8.14,0,69.9,0.72,3.81,21.85,1.29
"2022",23763371,0.95,0.55,18.53,58.62,4.33,69.9,0.72,3.81,21.85,1.29
"2023",23763373,77.14,0.74,2.26,18,0.97,77.14,0.74,2.26,18,0.97
"2024",23763375,3.16,0.61,51.4,15.1,3.17,2.28,73.41,0.54,3.37,13.84
"2025",23763377,0,0,35.44,38.29,2.64,2.27,73.53,0.52,3.26,13.86
"2026",23763379,0,0,35.17,52.9,1.67,2.27,73.54,0.52,3.26,13.86
"2027",23763381,0,7.53,69.53,5.02,0,2.27,73.55,0.5,3.25,13.87
"2028",23763383,3.96,0,27.75,51.71,10,2.27,73.56,0.5,3.25,13.87
"2029",23763385,0,0,41.1,0,9.59,2.27,73.56,0.5,3.24,13.87
"2030",23763387,0,0,79.45,0.46,0,2.27,73.56,0.5,3.24,13.87
"2031",23763389,0,0,44.98,13.4,0,2.27,73.57,0.5,3.24,13.87
"2032",23763391,18.98,0.47,29.45,30.15,1.28,2.26,73.6,0.5,3.23,13.87
"2033",23763393,0,0,66.93,7.66,0,2.26,73.61,0.49,3.23,13.87
"2034",23763395,0,0,45.57,1.27,0,2.82,72.66,0.64,3.9,14.28
"2035",23763397,0,0,23.43,49.14,0,2.82,72.66,0.64,3.9,14.28
"2036",23763399,0,0,18.47,20.05,9.76,2.82,72.66,0.64,3.9,14.28
"2037",23763401,0,0,67.86,8.93,0,2.82,72.67,0.64,3.9,14.28
"2038",23763403,0,0,13.7,38.36,0,2.82,72.67,0.64,3.9,14.28
"2039",23763405,0,0,0,30.43,0,2.82,72.67,0.64,3.9,14.28
"2040",23763407,0,0,66.67,0,0,2.79,72.73,0.63,3.88,14.29
"2041",23763409,0,0,28.47,18.75,0,2.79,72.73,0.63,3.88,14.29
"2042",23763411,0,0,60.87,11.59,0,2.79,72.73,0.63,3.88,14.29
"2043",23763413,0,0,75,0,0,2.79,72.73,0.62,3.88,14.29
"2044",23763415,53.09,0,11.79,8.78,0.26,2.79,72.73,0.62,3.88,14.29
"2045",23763417,22.77,0,14.16,9.96,4.62,2.47,72.99,0.62,3.88,14.34
"2046",23763419,78.76,0,0,0,0,2.3,73.14,0.62,3.89,14.37
"2047",23763421,56.25,0,0,0,0,2.29,73.15,0.62,3.89,14.37
"2048",23763423,79.96,2.95,2.5,0,0,2.29,73.15,0.62,3.89,14.37
"2049",23763425,90.72,0,0.48,0,0,1.96,73.41,0.62,3.9,14.43
"2050",23763427,78.61,11.12,1.41,0,0,1.94,73.42,0.62,3.9,14.43
"2051",23763429,77.73,9.72,0,0,0,1.9,73.45,0.62,3.9,14.44
"2052",23763431,53.24,34.35,0.1,0.77,5.62,1.9,73.46,0.62,3.9,14.44
"2053",23763433,67.36,0,18.92,0,0,1.85,73.5,0.62,3.9,14.44
"2054",23763435,86.32,3.64,1.65,0,0,1.85,73.5,0.62,3.9,14.45
"2055",23763437,68.86,0,0,0,0,1.82,73.52,0.62,3.9,14.45
"2056",23763439,91.88,0,0.64,0,0,1.82,73.52,0.62,3.9,14.45
"2057",23763441,85.4,0,1.12,0,0,1.78,73.55,0.62,3.91,14.46
"2058",23763443,66.21,11.32,0,0,0,1.78,73.55,0.62,3.91,14.46
"2059",23763445,27.77,35.97,3.17,1.58,4.6,1.77,73.56,0.62,3.91,14.46
"2060",23763447,20.68,43.03,1.2,6.66,11.4,1.77,73.57,0.62,3.91,14.46
"2061",23763449,12.1,17.75,33.07,0,0,1.72,73.65,0.6,3.9,14.46
"2062",23763451,8.22,0,12.33,16.44,8.22,5.62,0.37,3.79,87.71,0.55
"2063",23763453,0.21,0,26.36,59.94,0,5.61,0.37,3.77,87.9,0.53
"2064",23763455,5.14,0,3.89,90.98,0,5.82,0.38,2.92,88.95,0.55
"2065",23763457,0,4,0,96,0,5.85,0.41,2.86,88.83,0.58
"2066",23763459,3.67,0.74,11.75,81.87,1.97,7.26,0.98,5.52,82.26,1.21
"2067",23763461,10.94,1.25,3.02,78.83,0.75,10.94,1.25,3.02,78.83,0.75
"2068",23763463,6.04,0,4.95,88.91,0.1,8.61,12.15,1.55,69.54,5.26
"2069",23763465,4.53,0.22,2.8,91.68,0.64,8,10.59,1.55,72.72,4.61
"2070",23763467,12.5,0,0,67.3,0,8,10.57,1.55,72.71,4.61
"2071",23763469,16.57,0,3.04,79.94,0,16.57,0,3.04,79.94,0
"2072",23763471,4.21,0.19,4.24,90.88,0.49,7.05,20.92,1.77,60.61,5.84
"2073",23763473,3.67,0,0.24,96.1,0,8.49,22.24,1.41,53.04,9.62
"2074",23763475,8.42,0,0.96,90.54,0,9.3,25.94,1.62,45.87,11.22
"2075",23763477,5.32,0.72,4.1,89.05,0.58,7.99,31.62,1.34,44.58,8.71
"2076",23763479,13.69,0.22,1.08,84.52,0.31,8.53,32.47,1.35,40.87,10.29
"2077",23763481,34.9,4.69,3.34,55.47,0.56,9.56,33.43,1.8,32.98,14.45
"2078",23763483,11.69,0,0.11,87.45,0,9.6,32.71,1.77,34.18,14.14
"2079",23763485,22.86,0,1.01,74.79,0,4.45,41.07,1.82,24.71,19.82
"2080",23763487,0,0,0,100,0,3.77,40.13,1.78,25.18,21.91
"2081",23763489,3.69,28.88,2.51,39.84,9.44,1.67,49.05,1.53,13.69,25.28
"2082",23763491,0.93,56.53,1.17,4,31.14,0.93,56.53,1.17,4,31.14
"2083",23763493,4.63,0,2.8,92.52,0.05,3.09,20.33,0.97,61.66,7.57
"2084",23763495,9.38,0,2.84,86.94,0.08,2.85,25,0.53,54.49,9.29
"2085",23763497,13.74,0,4.15,80.26,0,1.9,28.59,0.34,51.3,10.25
"2086",23763499,45.05,0,0,54.95,0,1.7,30.62,0.32,50.51,9.45
"2087",23763501,14.25,0,2.43,79.59,0,2.34,20.68,0.24,62.35,7.65
"2088",23763503,2.77,0.61,0.01,96.27,0,1.2,20.23,0.01,62.94,8.36
"2089",23763505,0,0,0,100,0,0.52,28.48,0.01,50.88,10.56
"2090",23763507,0.72,10.62,0.03,84.67,2.53,0.72,10.62,0.03,84.67,2.53
"2091",23763509,0.52,0,3,95.71,0,0.37,49.55,0.46,28.04,12.89
"2092",23763511,2.53,21.11,0,68.1,0.87,0.34,58.5,0,15.81,15.22
"2093",23763513,0,71.94,0,18.11,6.23,0,58.67,0,9.88,18.45
"2094",23763515,0,49.55,0,0,37.51,0,49.55,0,0,37.51
"2095",23763517,91.12,4.44,0,0,0,4.72,28.67,1.63,46.26,11.78
"2096",23763519,86.17,2.52,11.32,0,0,4.72,28.68,1.63,46.26,11.78
"2097",23763521,20.98,0.94,8.85,65.77,1.08,4.72,28.68,1.63,46.26,11.78
"2098",23763523,20.96,0,33.44,41.1,0.83,3.29,31.48,1.46,43.41,13.09
"2099",23763525,40.07,0,55.7,3.58,0,3.28,31.5,1.43,43.41,13.1
"2100",23763527,14.81,0.9,26.54,53.4,1.2,3.27,31.51,1.42,43.42,13.1
"2101",23763529,0,0,63.74,8.77,0,3.2,31.81,1.31,43.13,13.22
"2102",23763531,1.23,0,24.58,71.94,1.22,3.16,31.9,1.27,43.07,13.26
"2103",23763533,7.57,0,14.19,75.63,0.51,2.86,33.53,1.11,40.86,13.94
"2104",23763535,4.65,0.02,8.49,86.51,0.06,2.8,34.05,1.01,40.22,14.15
"2105",23763537,8.94,0,5.41,85.36,0,2.58,36.43,0.68,36.86,15.13
"2106",23763539,4.61,0,9.12,85.55,0.72,2.49,37.26,0.65,35.61,15.49
"2107",23763543,6.72,0,6.2,87.08,0,1.87,42.67,0.53,28.35,17.2
"2108",23763545,0.23,0,38.57,61.2,0,4.06,18.96,1.1,66.08,5.05
"2109",23763547,0,0,51.06,48.94,0,4.06,18.95,1.14,66.07,5.04
"2110",23763549,0,0,5.22,94.79,0,4.05,18.9,1.2,66.07,5.03
"2111",23763551,10.79,0,37.76,49.37,2.07,4.06,18.91,1.2,66.05,5.04
"2112",23763553,3.45,0,8.41,87.89,0.08,4.07,19.06,0.89,66.11,5.07
"2113",23763555,0,0,4.37,95.01,0,5.49,2.89,0.44,90.28,0.26
"2114",23763557,5.34,0,2.69,91.97,0,5.66,2.99,0.32,90.13,0.26
"2115",23763559,18.22,0,5.28,76.49,0,5.68,3.17,0.17,90.01,0.28
"2116",23763561,4.58,0,0.85,94.58,0,5.43,3.24,0.07,90.28,0.28
"2117",23763563,5.9,1.29,0.01,92.13,0.12,5.9,1.29,0.01,92.13,0.12
"2118",23763565,9.64,0.04,3.78,86.02,0.39,3.2,30.17,0.88,49.78,8.36
"2119",23763567,4.79,0.54,0,94.67,0,1.48,38.23,0.1,40.09,10.49
"2120",23763569,0.65,0,0,99.35,0,0.57,46.59,0.15,30.76,11.98
"2121",23763571,3.14,8.68,0,73.93,6.71,0.57,46.86,0.15,30.36,12.05
"2122",23763573,0.4,36.97,0.59,43.42,11.14,0.4,36.97,0.59,43.42,11.14
"2123",23763575,0,0,0,100,0,0.22,52,0.17,24.5,12.77
"2124",23763577,0.21,48.15,0,36.94,6.21,0.14,58.04,0,16.89,13.43
"2125",23763579,0.21,57.71,0,0,18.14,0.2,59.2,0,0,20.74
"2126",23763581,0.37,53.56,0,0,19.63,0.37,53.56,0,0,19.63
"2127",23763583,8.53,0,12.96,77.64,0.87,1.1,50.99,0.28,15.14,21.46
"2128",23763585,9.95,2.09,9.19,77.35,0,1.01,51.6,0.13,14.38,21.71
"2129",23763587,7.66,17.71,0.26,61.39,8.43,0.9,52.22,0.02,13.59,21.99
"2130",23763589,0,0,0,85,0,0.69,53.35,0.01,12.04,22.42
"2131",23763591,0,5.7,0,84.81,0,0.72,54.33,0.01,12.2,21.77
"2132",23763593,2.35,19.56,0.06,48.42,11.24,0.72,54.53,0.01,11.96,21.84
"2133",23763595,2.42,20.6,0.15,39.64,10.8,0.67,56.44,0.01,10.47,22.09
"2134",23763597,3.97,22.68,0.13,49.47,11.88,0.48,57.22,0.01,9.42,22.64
"2135",23763599,3.78,10.25,0,64.1,11.73,0.38,59.4,0,8.08,22.66
"2136",23763601,14.38,27.71,0.09,51.43,1.47,0.33,60.48,0,6.87,22.94
"2137",23763603,20,0,20,0,0,0.29,61.48,0,6.31,22.98
"2138",23763605,0.14,30.84,0.04,35.74,14.55,0.01,65.55,0,1.64,23.94
"2139",23763607,0.14,48.06,0,19,21.08,0.01,67.01,0,0.61,23.92
"2140",23763609,0.05,48.25,0,4.44,30.11,0.01,67.36,0,0.17,24.31
"2141",23763611,0,34,0,0,49.04,0.01,68.62,0,0,23.58
"2142",23763613,0,49.48,0,0,42.19,0.01,69.43,0,0,23.12
"2143",23763615,0,63.5,0,0,22.48,0.01,70.26,0,0,22.28
"2144",23763617,0,58.1,0,0,36.63,0.01,70.34,0,0,22.36
"2145",23763619,0,70.06,0,0,12.09,0.01,70.67,0,0,22.13
"2146",23763621,0,91.91,0,0,7.29,0.01,70.7,0,0,22.4
"2147",23763623,0,65,0,0,35,0.01,70.47,0,0,22.52
"2148",23763625,0,68.44,0,0,16.78,0.01,70.54,0,0,22.46
"2149",23763627,0,49.78,0,0,44.44,0.01,70.43,0,0,22.73
"2150",23763629,0,32.67,0,0,23.3,0.01,70.58,0,0,22.52
"2151",23763631,0,80.18,0,0,19.82,0.01,70.26,0,0,23.21
"2152",23763633,0,66.93,0,0,23.64,0.01,70.13,0,0,23.29
"2153",23763635,0,67.48,0,0,21.23,0.01,69.5,0,0,24.15
"2154",23763637,0,43.11,0,0,0,0.01,70.16,0,0,23.35
"2155",23763639,0,75.92,0,0,15.51,0.01,69.83,0,0,23.72
"2156",23763641,0,66.01,0,0,33.99,0.01,68.78,0,0,24.55
"2157",23763643,0,82.64,0,0,17.36,0.01,69.99,0,0,23.06
"2158",23763645,0,78.94,0,0,21.06,0.01,70.09,0,0,22.71
"2159",23763647,0,90.97,0,0,9.03,0.01,69.62,0,0,22.78
"2160",23763649,0,80.93,0,0,14.55,0.01,69.13,0,0,23.1
"2161",23763651,0.09,78.34,0,0,18.1,0.01,70.5,0,0,21.21
"2162",23763653,0,57.89,0,0,17.67,0.01,71.33,0,0,21.08
"2163",23763655,0,61.11,0,0,30.33,0.01,71.21,0,0,20.97
"2164",23763657,0,52,0,0,48,0.01,73.06,0,0,19.47
"2165",23763659,0,70.3,0,0,29.02,0.01,73.6,0,0,18.85
"2166",23763661,0,73.75,0,0,8.3,0.01,73.67,0,0,17.93
"2167",23763663,0,72.72,0,0,5.6,0.03,81.93,0,0,16.01
"2168",23763665,0,55.93,0,0,1.69,0.03,83.39,0,0,15.63
"2169",23763667,0,77.53,0,0,22.47,0.03,83.8,0,0,16.13
"2170",23763669,0,76.77,0,0,23.23,0.04,85.03,0,0,14.89
"2171",23763671,0,85.14,0,0,14.86,0.05,84.44,0,0,15.46
"2172",23763673,0,81.27,0,0,18.14,0,84.41,0,0,15.51
"2173",23763675,0,88.15,0,0,11.85,0,88.15,0,0,11.85
"2174",23763677,0,21.57,0,0,64.94,0,54.75,0,0,24.43
"2175",23763679,0,73.9,0,0,21.75,0,55.94,0,0,17.61
"2176",23763681,0,58.1,0,0,9.98,0,58.1,0,0,9.98
"2177",23763683,72.05,0.73,22.86,2.66,0,13.18,11.73,2.32,64.2,3.69
"2178",23763685,26.77,0.1,8.71,59.75,0.5,9.41,15.8,2.01,61.56,4.98
"2179",23763687,33.57,0,4.08,40.14,0,7.88,17.19,1.43,61.72,5.37
"2180",23763689,37.61,0,0,54.7,0,7.75,17.27,1.41,61.82,5.4
"2181",23763691,28.25,0,0,60.31,0,7.72,17.3,1.42,61.83,5.4
"2182",23763693,24.13,0,17.24,55.17,0,7.69,17.32,1.42,61.83,5.41
"2183",23763695,1.5,0,4.52,77.45,0,7.69,17.32,1.41,61.84,5.41
"2184",23763697,7.93,0,7.86,82.85,0.4,7.69,17.35,1.41,61.81,5.42
"2185",23763699,0,0.57,11.05,88.21,0,7.44,23.49,0.63,52.64,7.3
"2186",23763701,9.07,0,1.56,88.89,0,7.87,26.04,0.47,48.12,8.09
"2187",23763703,4.82,2.64,3.96,84.25,0.41,7.73,29.35,0.38,42.83,9.13
"2188",23763705,10.01,0,1.14,88.85,0,8.17,30.53,0.22,40.36,9.83
"2189",23763707,0,0,0,100,0,8.44,31.75,0.18,37.76,10.15
"2190",23763709,42.03,1.18,0.19,53.97,0.64,8.77,35.07,0.21,31.61,11.34
"2191",23763711,8.34,28.74,0.33,45.52,7.68,5.82,38.08,0.21,29.64,12.29
"2192",23763713,12.4,28,0,0,16,1.84,49.47,0,0,23.63
"2193",23763715,1.1,58.03,0,0,26.17,0.56,57.23,0,0,24.54
"2194",23763717,0,56.4,0,0,22.87,0,56.4,0,0,22.87
"2195",23763719,57.14,0,0,0,0,20.8,0,1.4,75.3,0.16
"2196",23763721,92.53,0,4.08,0,0,20.78,0,1.4,75.34,0.16
"2197",23763723,96.36,0,0,0,0,19.58,0,1.35,76.6,0.16
"2198",23763725,100,0,0,0,0,18.17,0,1.38,78,0.17
"2199",23763727,95.31,0,0,0,0,17.92,0,1.38,78.24,0.17
"2200",23763729,88.47,0,0,0,0,17.14,0,1.39,79.03,0.17
"2201",23763731,41.89,0,0,56.42,0,17.09,0,1.4,79.08,0.17
"2202",23763733,92.15,0,0,6.62,0,14.71,0,1.53,81.26,0.18
"2203",23763735,80.42,0,0,16.32,0,9.78,0,1.62,86.01,0.2
"2204",23763737,28.32,0,5.15,63.02,0,8.73,0,1.65,87.05,0.2
"2205",23763739,9.38,0,2.75,73.16,0.72,6.95,0,1.46,87.52,0.19
"2206",23763741,3.32,0,0,96.68,0,6.23,0,0.9,92.66,0
"2207",23763743,9.43,0,0,90.57,0,6.57,0,1.01,92.16,0
"2208",23763745,11.11,0,0.25,88.64,0,9.51,0,1.45,89.04,0
"2209",23763747,9.12,0,1.74,89.14,0,9.12,0,1.74,89.14,0
"2210",23763749,6.46,0.14,5.22,87.18,0.19,4.95,18.71,1.67,63.61,6.21
"2211",23763751,2.71,0.08,9.28,87.53,0.2,5.18,17.14,1.8,65.72,5.7
"2212",23763753,5.29,1.08,4.93,88.2,0.44,5.27,15.05,1.97,68.78,5.01
"2213",23763755,2.09,1.21,8.53,76.44,3.49,2.09,1.21,8.53,76.44,3.49
"2214",23763757,4.39,0,4.01,74.61,0,3.83,66.67,1.11,8.55,13.3
"2215",23763759,5.66,67.07,0.81,0.82,23.56,6.94,72.61,0.6,0.33,16.46
"2216",23763761,6.63,78.8,0.38,0,9.12,7.81,76.34,0.45,0,11.69
"2217",23763763,7.24,78.36,0,0,9.31,8.11,75.72,0.47,0,12.34
"2218",23763765,8.5,74.52,0.68,0,13.73,8.5,74.52,0.68,0,13.73
"2219",23763767,14.38,0,9.27,75.08,0.53,6.07,41.22,2.04,19.58,21.84
"2220",23763769,4.53,7.92,4.1,75.13,2.46,6.13,44.87,2.07,13.06,23.84
"2221",23763771,5.18,11.28,4.24,67.42,1.34,7.09,47.02,1.79,14.32,19.81
"2222",23763773,4.93,19.63,2.38,71.98,0.41,6.82,54.72,0.95,4.91,22.5
"2223",23763775,7.18,49.87,1.62,22.1,7.73,7.7,60.95,0.78,1.88,20.45
"2224",23763777,7.57,62.65,0.95,0.01,20.04,7.57,62.65,0.95,0.01,20.04
"2225",23763779,0,2.08,37.02,60.21,0.69,5.31,21.99,1.33,53.1,11.51
"2226",23763781,1.47,0,1.84,95.79,0,5.51,23.24,1.21,50.7,12.22
"2227",23763783,3.77,0,0,96.22,0,5.86,25.45,1.24,46.01,13.59
"2228",23763785,9.42,0,2.62,85.8,0,5.89,25.46,1.4,44.46,14.2
"2229",23763787,5.12,0,1.95,92.32,0,5.83,25.84,1.38,43.84,14.41
"2230",23763789,0.44,1.61,6.59,91.29,0.07,6.95,46.31,1.42,12.91,23.7
"2231",23763791,7.91,0,5.14,84.19,2.77,7.61,50.77,0.9,5.08,26.06
"2232",23763793,11.44,29.97,6.54,47.41,4.63,7.6,51.73,0.82,3.59,26.49
"2233",23763795,0,0,40,60,0,5.93,30.66,1.77,42.83,16.91
"2234",23763797,8.01,12.56,3.8,73.04,1.29,5.93,30.68,1.74,42.81,16.93
"2235",23763799,4.47,48.02,0.32,32.9,12.27,4.36,44.41,0.19,19.91,28.77
"2236",23763801,4.18,38.95,0,0.21,53.8,4.18,38.95,0,0.21,53.8
"2237",23763803,3.4,22.59,0,53.37,10.11,1.54,54.53,0.03,14.37,19.72
"2238",23763805,4.01,39.52,0.27,17.68,19.9,2.02,61.51,0.07,4.54,21.58
"2239",23763807,3.44,69.7,0,0,20.61,3.44,69.7,0,0,20.61
"2240",23763809,9.11,18.68,3.96,56.56,7.67,9.11,18.68,3.96,56.56,7.67
"2241",23763811,8.61,0.08,2.63,88.56,0.11,4.97,16.82,0.58,63.12,9.19
"2242",23763813,7.15,7.94,0.24,78.16,3.77,4.2,20.29,0.16,57.86,11.07
"2243",23763815,6.1,1.27,1.46,88.73,0.57,2.73,29.21,0.13,42.74,16.17
"2244",23763817,4.16,14.2,0.17,79.41,1.2,2.82,29.19,0.05,54.13,8.11
"2245",23763819,1.99,17.36,0.09,72.73,3.47,2.6,33.02,0.02,48.73,8.96
"2246",23763821,1.88,53.47,0,21.5,15.43,1.88,53.47,0,21.5,15.43
"2247",23763823,2.46,0.37,10.34,86.83,0,4.72,30.93,2.59,42.66,12.86
"2248",23763825,0,6.69,2.33,60.17,29.36,5.41,32.51,2.54,41.84,12.94
"2249",23763827,4.21,24.42,8.18,45.5,16.07,6.57,37.6,2.64,38.41,9.84
"2250",23763829,9.54,43.42,0.48,36.31,7.35,8.07,41.85,0.66,36.9,6.87
"2251",23763831,4.29,37.76,1.13,38.42,5.62,4.29,37.76,1.13,38.42,5.62
"2252",23763833,8.23,0,1.38,90.04,0.24,8.23,0,1.38,90.04,0.24
"2253",23763835,2.29,54.85,1.01,8.92,25.69,2.29,54.85,1.01,8.92,25.69
"2254",23763837,16.62,33.23,7.72,38.28,1.78,6.64,32.72,1.23,42.48,7.51
"2255",23763839,10.44,24.49,0,64.78,0.2,6.49,32.72,1.13,42.55,7.6
"2256",23763841,7.55,35.62,0.78,39.67,9.26,6.59,33.32,0.99,39.84,8.53
"2257",23763843,16.5,0,0,83.51,0,5.97,31.81,1.04,42.26,7.14
"2258",23763845,11.57,28.38,1.78,48.58,4.27,6.19,30.86,1.1,44.31,7.4
"2259",23763847,7.52,31.07,0.4,46.81,4.8,7.52,31.07,0.4,46.81,4.8
"2260",23763849,14.43,62.2,0.93,0.52,14.95,5.42,55.2,0.09,0.05,24.87
"2261",23763851,4.47,54.46,0,0,25.92,4.47,54.46,0,0,25.92
"2262",23763853,4.81,22.45,7.34,57.69,6.74,5.3,35.9,3.35,23.81,21.41
"2263",23763855,3.41,48.62,3.12,34.34,2.54,5.55,42.36,1.43,7.53,28.47
"2264",23763857,6.17,35.81,2.54,15.37,14.77,5.8,41.65,1.25,4.5,31.39
"2265",23763859,2.8,43.97,1.49,0.51,37.55,2.8,43.97,1.49,0.51,37.55
"2266",23763861,6.88,0,8.31,84.43,0,9.44,0,3.03,87.13,0.03
"2267",23763863,0,0,14.05,81.54,0,6.38,0,2.76,90.44,0.02
"2268",23763865,11.69,0,7.78,79.03,0,6.46,0,2.62,90.55,0.02
"2269",23763867,4.54,0,1.63,93.78,0,4.54,0,1.63,93.78,0
