"comid","urbn","frst","wtnd","agrc","shrb","urbn_t","frst_t","wtnd_t","agrc_t","shrb_t","basin","tot_loc","tot_acm"
23099420,70.4515848892749,0.314806773773339,13.1893182805037,6.30699088145897,9.73729917498914,5.60051796697961,31.3801661810726,1.67260170497464,15.6900830905363,45.6566310564368,"Yakima",100,100
23099422,75.8705304977799,0,0.876372984342136,0,23.253096517878,5.57833405265429,31.3875701337937,1.67242123435477,15.6883901596893,45.673284419508,"Yakima",100,100
23099424,57.9427875836884,0,0.547778454047474,8.24710894704808,33.2623250152161,5.57833405265429,31.3875701337937,1.67242123435477,15.6883901596893,45.673284419508,"Yakima",100,100
23099426,42.5809037170624,0,0.440837591423705,14.3572788297766,42.6209798617373,5.57713052858684,31.3915857605178,1.67206040992449,15.6957928802589,45.663430420712,"Yakima",100,100
23099428,83.0305620859158,0,3.63325496901047,2.62876683051934,10.7074161145544,5.54596460940872,31.4091497626241,1.67242123435477,15.6991799741044,45.673284419508,"Yakima",100,100
23099430,83.5092486153203,0,1.04504127913053,10.2414045354792,5.20430557007002,5.54596460940872,31.4091497626241,1.67242123435477,15.6991799741044,45.673284419508,"Yakima",100,100
23099432,52.9137055837563,0,0.375634517766497,24.6294416243655,22.0812182741117,5.54596460940872,31.4091497626241,1.67242123435477,15.6991799741044,45.673284419508,"Yakima",100,100
23099434,24.8096639935032,0,0,4.81169424423916,70.3786417622576,5.48300053966541,31.4516999460335,1.67296276308689,15.6826767404209,45.7096600107933,"Yakima",100,100
23099436,60.0140126113502,0,0,14.88339505555,25.1025923330998,5.48181720082011,31.455703032265,1.67260170497464,15.6900830905363,45.6997949714039,"Yakima",100,100
23099438,29.167527370378,0,0.444123115058872,48.2338359843008,22.1545135302623,5.43982730706962,31.4840798704803,1.67296276308689,15.6826767404209,45.7204533189422,"Yakima",100,100
23099440,0,0,0.31924262439454,78.5446939674152,21.1360634081902,5.4392402331103,31.5022663500971,1.67278221454781,15.6593999568314,45.7263112454133,"Yakima",100,100
23099442,5.12347103623356,0,17.9552273251789,48.7191322409416,28.202169397646,5.4392402331103,31.5022663500971,1.67278221454781,15.6593999568314,45.7263112454133,"Yakima",100,100
23099444,41.6060291060291,0,5.10654885654886,34.3035343035343,18.9838877338877,5.4392402331103,31.5022663500971,1.67278221454781,15.6593999568314,45.7263112454133,"Yakima",100,100
23099446,13.6870941558442,0.263798701298701,0.355113636363636,50.8319805194805,34.862012987013,5.4392402331103,31.5022663500971,1.67278221454781,15.6593999568314,45.7263112454133,"Yakima",100,100
23099450,24.7134974533107,0,2.78013582342954,35.3353140916808,37.171052631579,5.4392402331103,31.5238506367365,1.67278221454781,15.6270235268724,45.737103388733,"Yakima",100,100
23099452,11.450221006104,0.347295306251316,3.28351925910335,58.9454851610187,25.9734792675226,5.42844808979063,31.5346427800561,1.67278221454781,15.6270235268724,45.737103388733,"Yakima",100,100
23099454,10.567676558784,0,3.40192327577293,50.8840864440079,35.1463137214352,5.42903399892067,31.538046411225,1.67296276308689,15.6179168915273,45.7420399352402,"Yakima",100,100
23099456,2.86985068304564,0.116488404108864,2.82749126336969,75.1138409403791,19.0723287090967,5.42903399892067,31.538046411225,1.67296276308689,15.6179168915273,45.7420399352402,"Yakima",100,100
23099458,1.31084239406564,0,0.233716085763642,78.7826440402398,19.6727974799309,5.42844808979063,31.5454349233758,1.67278221454781,15.6054392402331,45.7478955320527,"Yakima",100,100
23099460,3.28733766233766,0.0202922077922078,0.36525974025974,11.5462662337662,84.7808441558442,5.42903399892067,31.5920129519698,1.67296276308689,15.5207771181867,45.7852131678359,"Yakima",100,100
23099462,6.03163764652327,0,2.24194833276431,2.24194833276431,89.4844656879481,5.44041450777202,31.6709844559585,1.67314335060449,15.5332469775475,45.6822107081174,"Yakima",100,100
23099464,15.1581243184297,0,0,0.403489640130861,84.4383860414395,5.44041450777202,31.6709844559585,1.67314335060449,15.5332469775475,45.6822107081174,"Yakima",100,100
23099468,2.195566027632,0,0.342722501874264,0.417693049159259,97.0440184213345,2.04881750347793,0.025294043252814,0,5.23586695333249,92.6900214999368,"Yakima",100,100
